ASV,seed23_run2,seed105_run3,seed12_run4
ASV0736,3,6,1
ASV0737,3,6,1
ASV0738,9,8,10
ASV0739,1,9,12
ASV0740,3,6,1
ASV0741,9,8,10
ASV0742,5,4,6
ASV0744,3,6,1
ASV0747,2,5,2
ASV0748,3,6,1
ASV0751,2,5,2
ASV0752,3,6,1
ASV0753,3,6,1
ASV0754,3,6,1
ASV0755,12,12,11
ASV0757,3,6,1
ASV0758,5,4,6
ASV0759,12,12,11
ASV0761,9,8,10
ASV0762,3,6,13
ASV0763,3,6,1
ASV0764,1,9,12
ASV0766,9,8,10
ASV0767,11,3,7
ASV0768,3,6,1
ASV0769,3,6,1
ASV0770,1,9,12
ASV0771,3,6,1
ASV0772,3,6,1
ASV0773,3,6,1
ASV0774,3,6,1
ASV0775,3,6,13
ASV0776,12,12,11
ASV0777,1,9,12
ASV0778,3,6,1
ASV0781,3,6,1
ASV0782,12,12,11
ASV0785,1,9,12
ASV0786,3,6,1
ASV0787,3,6,1
ASV0788,3,6,1
ASV0790,3,6,1
ASV0792,9,8,10
ASV0793,5,4,6
ASV0794,1,9,12
ASV0795,3,6,1
ASV0796,3,6,1
ASV0797,3,6,1
ASV0798,9,9,12
ASV0799,8,11,9
ASV0800,1,9,12
ASV0801,3,6,1
ASV0802,3,6,1
ASV0804,8,11,9
ASV0805,3,6,1
ASV0807,9,8,10
ASV0809,9,8,10
ASV0810,3,6,1
ASV0811,3,6,1
ASV0814,3,6,1
ASV0815,12,12,11
ASV0816,3,6,1
ASV0818,11,3,7
ASV0819,1,9,12
ASV0821,3,6,1
ASV0822,1,9,12
ASV0823,3,6,1
ASV0825,3,6,13
ASV0826,3,6,1
ASV0827,3,6,1
ASV0828,8,11,9
ASV0829,1,9,12
ASV0830,3,6,1
ASV0832,3,6,1
ASV0833,5,4,6
ASV0834,3,6,1
ASV0838,9,6,1
ASV0839,9,8,10
ASV0840,3,6,1
ASV0841,3,6,1
ASV0842,3,6,1
ASV0843,12,12,11
ASV0844,3,6,1
ASV0845,3,6,1
ASV0847,3,6,1
ASV0848,7,1,8
ASV0849,3,6,1
ASV0851,3,6,1
ASV0852,3,6,1
ASV0853,1,9,12
ASV0854,3,6,1
ASV0855,2,5,2
ASV0856,3,6,1
ASV0857,3,6,1
ASV0858,3,6,13
ASV0859,3,6,1
ASV0860,3,6,1
